Proyecto de Ley;Fecha Documento;Fecha de Presentación;N. Trámite;N. Documento;Estado;Comisión asignada;Fecha Calificación CAL;Proponentes
"PROYECTO DE LEY REFORMATORIA AL RÉGIMEN PORTUARIO NACIONAL PARA LA TRANSPARENCIA TARIFARIA, GOBERNANZA Y ESTÁNDARES DE SERVICIO";"2025-12-10";"2025-12-10";"475263";"475263";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2026-01-09";"SALAS BARRIGA DIEGO ENRIQUE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES PARA LA PROMOCIÓN DEL EMPLEO, DESARROLLO DEL EMPLEADOR Y LA PROTECCIÓN SOCIAL INTEGRAL";"2025-12-10";"2025-12-10";"475257";"475257";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2026-01-09";"QUINTANA TAPIA NAILA VICTORIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE LA ECONOMÍA SOCIAL DE LOS CONOCIMIENTOS, CREATIVIDAD E INNOVACIÓN PARA LA DEFENSA DE LOS PEQUEÑOS Y MEDIANOS PRODUCTORES";"2025-12-10";"2025-12-10";"475256";"475256";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2026-01-09";"FARINANGO QUILUMBAQUÍN DINA MARIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA LA PREVENCIÓN DE LA CONDUCCIÓN EN ESTADO DE EMBRIAGUEZ Y LA CORRESPONSABILIDAD CONTRAVENCIONAL DE LOS ACOMPAÑANTES";"2025-12-10";"2025-12-10";"475266";"475266";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2026-01-09";"GUEVARA BENAVIDEZ JORGE LUIS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ALIMENTACIÓN ESCOLAR";"2025-12-10";"2025-12-10";"475275";"475275";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero";"2026-01-09";"GEORGE TENORIO FRICSON VINICIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA QUE DECLARA COMO FECHA CÍVICA NACIONAL EL 05 DE AGOSTO DE 1820 ""PRIMER GRITO DE INDEPENDENCIA DE ESMERALDAS""";"2025-12-10";"2025-12-10";"475252";"475252";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-12-18";"CELLERI GÓMEZ SAMUEL ELIAS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY DE COMPAÑÍAS Y DEL CÓDIGO DE COMERCIO PARA FORTALECER LA RESPONSABILIDAD PENAL DE LAS PERSONAS JURÍDICAS";"2025-12-09";"2025-12-09";"475188";"475188";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-12-18";"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE LA FUNCIÓN LEGISLATIVA";"2025-12-09";"2025-12-09";"475226";"475226";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"PALACIOS ZAMBRANO MÓNICA ESTEFANÍA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY ORGÁNICA DE MOVILIDAD HUMANA PARA EL FORTALECIMIENTO DE LOS ECUATORIANOS Y ECUATORIANAS EN EL EXTERIOR";"2025-12-09";"2025-12-09";"475225";"475225";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Relaciones Internacionales y Movilidad Humana";"2026-01-09";"PALACIOS ZAMBRANO MÓNICA ESTEFANÍA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA INTEGRAL PARA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES";"2025-12-09";"2025-12-09";"475185";"475185";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Transparencia, Participación Ciudadana y Control Social";"2026-01-09";"VILLACRESES HERRERA MARIA PAULA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO ADMINISTRATIVO";"2025-12-09";"2025-12-09";"475218";"475218";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-12-18";"CHÁVEZ ZAVALA PATRICIO ALBERTO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE ORGANIZACIÓN TERRITORIAL, AUTONOMÍA Y DESCENTRALIZACIÓN PARA FORTALECER EL RÉGIMEN DE EXPROPIACIÓN ESPECIAL DE ASENTAMIENTOS HUMANOS DE HECHO Y CONSOLIDADOS";"2025-12-08";"2025-12-08";"475142";"475142";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio";"2025-12-18";"RECALDE ÁLAVA ECKENNER READER(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ECONOMÍA POPULAR Y SOLIDARIA";"2025-12-06";"2025-12-06";"475017";"475017";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2026-01-08";"FARINANGO QUILUMBAQUÍN DINA MARIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL EN MATERIA DE TRÁNSITO";"2025-12-04";"2025-12-04";"475098";"475098";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2026-01-08";"MENDOZA PALMA ERWIN EDUARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO ADMINISTRATIVO Y AL CÓDIGO ORGÁNICO MONETARIO Y FINANCIERO PARA LA ESTABILIDAD Y FORTALECIMIENTO DEL SECTOR AGROPECUARIO";"2025-12-04";"2025-12-04";"475074";"475074";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"ROSADO SÁNCHEZ MARJORIE LORENA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA CODIFICACIÓN DE LA LEY ORGÁNICA DE EDUCACIÓN INTERCULTURAL PARA LA INCORPORACIÓN DE COMPETENCIAS EN INTELIGENCIA ARTIFICIAL EN EL SISTEMA NACIONAL DE EDUCACIÓN";"2025-12-04";"2025-12-04";"475096";"475096";"PROYECTO PRESENTADO";"No Asignado";null;"JARAMILLO GOMEZ CHRISTOPHER MANUEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA PARA LA REGULACIÓN Y CONTROL DEL TABACO";"2025-12-03";"2025-12-03";"475057";"475057";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-12-18";"JACOME BENITES MILENA CRISTINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA CREACIÓN DE LA CARRERA PROFESIONAL DE EDUCADORES Y PARVULARIOS DE LOS CENTROS DE DESARROLLO INFANTIL";"2025-12-03";"2025-12-03";"475032";"475032";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2026-01-09";"RODRIGUEZ CHAVEZ HECTOR EDUARDO(ASAMBLEÍSTA)/ VELOZ RAMÍREZ REBECA VIVIANA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES PARA REFORZAR EL DERECHO A LA LACTANCIA MATERNA DEL RECIÉN NACIDO";"2025-12-03";"2025-12-03";"475034";"475034";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2026-01-08";"PACHECO MACHUCA KATHERINE ALEXANDRA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES PARA GARANTIZAR LA IDENTIDAD PRODUCTIVA AGRÍCOLA";"2025-12-03";"2025-12-03";"475029";"475029";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-12-18";"GONZÁLEZ VALERO RONAL EDUARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE CULTURA PARA EL RECONOCIMIENTO, SALVAGUARDIA Y FOMENTO PRODUCTIVO DEL TEJIDO DE LA PAJA TOQUILLA Y DEL SOMBRERO DE PAJA TOQUILLA COMO PATRIMONIO CULTURAL DEL ECUADOR";"2025-12-02";"2025-12-02";"474978";"474978";"RETIRADO";"No Asignado";null;"MACHADO CLAVIJO GERARDO EUGENIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE LA SALUD PARA RECONOCER EL USO DEL SOMBRERO DE PAJA TOQUILLA COMO MEDIDA DE PREVENCIÓN DEL CÁNCER DE PIEL";"2025-12-02";"2025-12-02";"474976";"474976";"RETIRADO";"No Asignado";null;"MACHADO CLAVIJO GERARDO EUGENIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA  A LA LEY ORGÁNICA DE FOMENTO ARTESANAL  PARA EL RECONOCIMIENTO, SALVAGUARDIA Y FOMENTO PRODUCTIVO DEL TEJIDO DE LA PAJA TOQUILLA Y DEL SOMBRERO DE PAJA TOQUILLA COMO PATRIMONIO CULTURAL DEL ECUADOR";"2025-12-02";"2025-12-02";"474981";"474981";"RETIRADO";"No Asignado";null;"MACHADO CLAVIJO GERARDO EUGENIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE SALUD MENTAL";"2025-12-02";"2025-12-02";"AN-JSDA-2025-0088-M";"AN-JSDA-2025-0088-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-12-18";"JACOME SILVA DIANA ANGELICA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE DEFENSA AL CONSUMIDOR PARA PROTEGER A LOS USUARIOS FRENTE A ABUSOS FINANCIEROS Y DEFICIENCIAS EN LA PRESTACIÓN DE SERVICIOS";"2025-12-02";"2025-12-02";"474951";"474951";"RETIRADO";"No Asignado";null;"MACHADO CLAVIJO GERARDO EUGENIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA PROTECCIÓN DE LOS DERECHOS DE LOS CONSUMIDORES Y USUARIOS EN EL COMERCIO DIGITAL";"2025-12-02";"2025-12-02";"475024";"475024";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-12-18";"PARRALES YAGUAL ARISDELY PAOLA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA  A LA LEY ORGÁNICA PARA LA OPTIMIZACIÓN Y EFICIENCIA DE TRÁMITES";"2025-12-02";"2025-12-02";"474997";"474997";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-12-18";"HERRERA GÓMEZ ANA CECILIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA  A LA LEY ORGÁNICA DE JUVENTUDES";"2025-12-02";"2025-12-02";"475001";"475001";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad";"2025-12-18";"JARAMILLO ZURITA LUCÍA LIZBETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA FORTALECER EL RÉGIMEN DE RESPONSABILIDAD PENAL DE LAS PERSONAS JURÍDICAS";"2025-12-02";"2025-12-02";"474954";"474954";"PROYECTO PRESENTADO";"No Asignado";null;"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES PARA LA IMPLEMENTACIÓN DE PROGRAMAS DE CUMPLIMIENTO PENAL Y NORMATIVO PARA PREVENIR LOS DELITOS EN EL SECTOR PRIVADO";"2025-12-02";"2025-12-02";"AN-LPLA-2025-0146-M";"AN-LPLA-2025-0146-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-12-18";"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE REGULACIÓN EQUITATIVA DEL CONSUMO Y ACTIVIDADES ECONÓMICAS EN PROCESOS ELECTORALES";"2025-11-29";"2025-11-29";"474840";"474840";"INFORME PARA PRIMER DEBATE";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-12-01";"OLSEN PEET NIELS ANTHONEZ(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA DEL CÓDIGO DE COMERCIO PARA FORTALECER LA PROTECCIÓN DEL DERECHO A LA SALUD Y A UNA VIDA DIGNA DE LAS PERSONAS CON ENFERMEDADES CATASTRÓFICAS O DE ALTA COMPLEJIDAD Y DE LAS PERSONAS CON DISCAPACIDAD SUPERVINIENTE";"2025-11-29";"2025-11-29";"474839";"474839";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Régimen Económico y Tributario y su Regulación y Control";"2025-12-18";"YELA DUARTE ANA BELEN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY DE AGROBIODIVERSIDAD, SEMILLAS Y FOMENTO DE LA AGRICULTURA SUSTENTABLE";"2025-11-28";"2025-11-28";"474840";"474840";"PROYECTO PRESENTADO";"No Asignado";null;"MENDOZA PALMA ERWIN EDUARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE RECUPERACIÓN PRODUCTIVA Y TERRITORIAL FRENTE AL CRIMEN ORGANIZADO";"2025-11-28";"2025-11-28";"474816";"474816";"PROYECTO PRESENTADO";"No Asignado";null;"MANCHENO DAVILA MISHEL ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA DEL CÓDIGO ORGÁNICO ADMINISTRATIVO";"2025-11-28";"2025-11-28";"474818";"474818";"PROYECTO PRESENTADO";"No Asignado";null;"MANCHENO DAVILA MISHEL ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA CODIFICACIÓN DE LA LEY ORGÁNICA DE EDUCACIÓN INTERCULTURAL PARA INCLUIR A LA NUTRICIÓN EN LA MALLA CURRICULAR";"2025-11-27";"2025-11-27";"474780";"474780";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-12-10";"CUEVA TORO CAMILA ANAHI(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA  A LA LEY ORGÁNICA DE LA FUNCIÓN LEGISLATIVA";"2025-11-26";"2025-11-26";"474733";"474733";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Transparencia, Participación Ciudadana y Control Social";"2025-12-18";"SERRANO VALLADARES SAADIN ALFREDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS PARA CORREGIR EL EMPLEO INADECUADO DE LA DEFINICIÓN DE ABANDONO DE RECURSOS";"2025-11-26";"2025-11-26";"474747";"474747";"PROYECTO PRESENTADO";"No Asignado";null;"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY DE FOMENTO ARTESANAL PARA LA PROMOCIÓN Y SALVAGUARDIA DEL PATRIMONIO ARTESANAL DEL ECUADOR";"2025-11-26";"2025-11-26";"474748";"474748";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-12-01";"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL";"2025-11-26";"2025-11-26";"474731";"474731";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-12-10";"JARAMILLO MARTÍNEZ ROBERTO FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE INSTITUCIONALIZACIÓN Y FORTALECIMIENTO DEL SERVICIO ECUATORIANO DE CAPACITACIÓN PROFESIONAL (SECAP)";"2025-11-25";"2025-11-25";"474678";"474678";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-12-10";"BLACIO CASTILLO MANUEL DE JESUS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE TRANSPORTE TERRESTRE, TRÁNSITO Y SEGURIDAD VIAL PARA LA LOGÍSTICA DE CARGA Y EL TRÁNSITO EN FRONTERA";"2025-11-20";"2025-11-20";"474519";"474519";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-12-10";"SALAS BARRIGA DIEGO ENRIQUE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE SERVICIO PÚBLICO DE ENERGÍA ELÉCTRICA";"2025-11-20";"2025-11-20";"474505";"474505";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-12-10";"ORDOÑEZ QUEZADA ROQUE MARTIN(ASAMBLEÍSTA)/ LASSO MENDOZA JULIO VICENTE PATRICIO XAVIER(ASAMBLEÍSTA)/ NUÑEZ RAMOS SILVIA PATRICIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA LA SEGURIDAD EN ALTAMAR Y PROTECCIÓN DE LA PESCA";"2025-11-20";"2025-11-20";"474496";"474496";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-12-10";"ZAMBRANO VERA MARIO AMADO(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE PROTECCIÓN, FOMENTO Y COMERCIALIZACIÓN DEL TEJIDO TRADICIONAL DEL SOMBRERO DE PAJA TOQUILLA";"2025-11-20";"2025-11-20";"474515";"474515";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-12-01";"SANMARTÍN PARRA FABIOLA MARIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICO DE ACCESO A LA EDUCACIÓN SEXUAL INTEGRAL";"2025-11-20";"2025-11-20";"474493";"474493";"PROYECTO PRESENTADO";"No Asignado";null;"DURÁN AGUILAR LILIANA ELIZABETH(ASAMBLEÍSTA)/ BALTAZAR YUCAILLA ROSA CECILIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE ORDENAMIENTO TERRITORIAL, AUTONOMÍA Y DESCENTRALIZACIÓN";"2025-11-20";"2025-11-20";"474524";"474524";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio";"2025-12-10";"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DEL TRABAJO PARA LA DIGNIDAD DE LOS TRABAJADORES DE LA SEGURIDAD PRIVADA";"2025-11-20";"2025-11-20";"474526";"474526";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-12-01";"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA INTEGRAL PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES";"2025-11-19";"2025-11-19";"AN-HGAC-2025-0115-M";"AN-HGAC-2025-0115-M";"PROYECTO PRESENTADO";"No Asignado";null;"CABEZAS CASTILLO JANETH PAOLA(ASAMBLEÍSTA)/ HERRERA GÓMEZ ANA CECILIA(ASAMBLEÍSTA)/ MOLINA MENÉNDEZ MARÍA GABRIELA(ASAMBLEÍSTA)/ IÑIGUEZ GALLARDO MARIA VERONICA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE EDUCACIÓN SUPERIOR PARA GARANTIZAR EL LIBRE, TRANSPARENTE Y DEMOCRÁTICO ACCESO A LA UNIVERSIDAD PÚBLICA";"2025-11-19";"2025-11-19";"474452";"474452";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-12-01";"BLACIO CASTILLO MANUEL DE JESUS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE MOVILIDAD HUMANA";"2025-11-19";"2025-11-19";"474440";"474440";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-12-01";"ALVARADO ESPINEL MARCOS HUMBERTO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA PROTECCIÓN DE LA VOZ HUMANA FRENTE AL USO DE TECNOLOGÍAS DE INTELIGENCIA ARTIFICIAL";"2025-11-19";"2025-11-19";"474456";"474456";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-12-10";"CABEZAS CASTILLO JANETH PAOLA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE LA FUNCIÓN LEGISLATIVA PARA PROMOVER LOS MECANISMOS DE PARTICIPACIÓN CIUDADANA";"2025-11-18";"2025-11-18";"AN-OAMP-2025-0100-M";"AN-OAMP-2025-0100-M";"PROYECTO PRESENTADO";"No Asignado";null;"OLMEDO ARIAS MARCO PATRICIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA COMBATIR EL DELITO DE ABIGEATO";"2025-10-31";"2025-10-31";"AN-ZRHP-2025-0067-M";"AN-ZRHP-2025-0067-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-11-20";"ZAPATA ROJAS HERNÁN PATRICIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA PROMOCIÓN DEL TURISMO SOSTENIBLE EN GEOPARQUES";"2025-10-31";"2025-10-31";"AN-AZPA-2025-0109-M";"AN-AZPA-2025-0109-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-11-20";"AGUIRRE ZAMBONINO PAMELA ALEJANDRA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY DEL DEPORTE, EDUCACIÓN FÍSICA Y RECREACIÓN";"2025-10-30";"2025-10-30";"473743";"473743";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-11-20";"ACUÑA VACA MARIA CRISTINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS EN MATERIA DE INVENTARIOS Y PARTICIÓN";"2025-10-29";"2025-10-29";"473690";"473690";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-11-20";"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA PREVENCIÓN, ATENCIÓN Y SEGUIMIENTO DE LA OBESIDAD EN EL ECUADOR";"2025-10-28";"2025-10-28";"473623";"473623";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión del Derecho a la Salud y el Deporte";"2025-11-20";"GUSCHMER TAMARIZ MARCELO ANDRES(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DEL SISTEMA NACIONAL DE CONTRATACIÓN PÚBLICA";"2025-10-28";"2025-10-28";"473640";"473640";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-11-20";"JARRIN RIVADENEIRA EDWIN ESTUARDO(ASAMBLEÍSTA)"
